sector,count
Construction,2101
Finance and insurance excluding monetary authorities,391
Information and cultural industries,3392
Manufacturing,6583
"Mining, quarrying, and oil and gas extraction",18
"Postal services, couriers and messengers, warehousing and storage",262
"Professional, scientific and technical services",1241
"Total, selected services industries",820
Transportation and warehousing,762
Utilities,338
Wholesale trade,1720
